id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,min_nights,num_reviews,last_review,reviews_pm,num_listings,availability_365,num_reviews_ltm,license
21736914,Alex's House,72595301,Alex,East Boston,42.38119,-71.02831,Private room,,91,0,,,1,0,0,
21769647,Angela’s Comfy 1BR,158218784,Angela,Dorchester,42.29286,-71.07486,Private room,175,4,288,6/21/2025,3.04,1,158,7,STR-445530
21779767,BACK BAY ONE BEDROOM ON COMMONWEALTH AVE-MONTHLY,155595193,Michelle,Back Bay,42.35078,-71.08389,Entire home/apt,130,32,2,12/23/2024,0.02,8,276,1,
21789235,Ideal 3 BDR to stay by the Red Line!,16186589,Marie,Dorchester,42.29121,-71.06763,Entire home/apt,140,30,1,8/23/2021,0.02,27,365,0,
21799918,Large apartment for up to 8 ppl/1st floor,127718668,Muny,Dorchester,42.31345,-71.05631,Entire home/apt,176,1,69,8/25/2025,0.73,4,253,21,STR-423861
21800425,Large apartment for up to 8 ppl/2nd floor,127718668,Muny,Dorchester,42.31345,-71.05631,Entire home/apt,180,1,57,9/20/2025,0.6,4,297,22,STR-423861
21802497,Large apartment for up to 8 ppl/3rd floor,127718668,Muny,Dorchester,42.31345,-71.05631,Entire home/apt,187,1,84,8/4/2025,0.89,4,291,20,STR-423861
21815325,"WaterfrontM (North End)-MGH, SUBWAY, RESTAURANTS",155595193,Michelle,North End,42.36571,-71.05065,Entire home/apt,202,60,1,6/26/2025,0.33,8,332,1,
21897391,Beautiful Back Bay Duplex rental,392021,Karen,Back Bay,42.3495636,-71.08756256,Entire home/apt,1500,4,11,6/21/2024,0.13,1,335,0,STR-544954
21925988,Comfy room 3 min to T stop-easy access to Boston,21745230,Jerzy,Charlestown,42.38356,-71.07874,Private room,52,29,20,3/8/2025,0.21,12,286,2,
21961507,Sun filled modern clean master suite & bath,13897255,Chris,Jamaica Plain,42.30493,-71.11555,Entire home/apt,,91,0,,,2,0,0,
22013980,Now availJamaica Plain & Arboretum 20min toBoston,160750677,Phyllis,Jamaica Plain,42.3058984,-71.1249518,Entire home/apt,209,3,162,9/8/2025,1.82,1,248,24,STR-461050
22081895,Seaport Brick and Beam 1 bed.,3686220,Brig,South Boston Waterfront,42.3525,-71.04803,Entire home/apt,,91,0,,,1,0,0,
22099733,Eastie Cozy Retreat - Chic & Large Priv Bedroom,69587,Boris & Susan,East Boston,42.38041,-71.03189,Private room,130,1,809,9/23/2025,8.61,6,331,98,STR-399362
22132037,"Cozy, colorful, comfy 2BDR Duplex apartm in Boston",101568025,Mirella,Brighton,42.35448,-71.14723,Private room,,91,1,1/1/2018,0.01,1,0,0,
22267104,Boston King BCEC Beach Cruise- PVT Bath/Entry,52881930,William John,South Boston,42.33451,-71.02731,Entire home/apt,193,2,534,9/6/2025,5.74,3,196,63,STR-398624
22306805,"3 BR Private Family Home, S. Boston/Seaport/BCEC",161161895,Shelby,South Boston,42.33712,-71.03903,Entire home/apt,387,1,409,8/19/2025,4.34,1,303,40,STR-383143
22327139,Modern & Bright-Great Location-Mins to Logan,69587,Boris & Susan,East Boston,42.37855,-71.03157,Private room,130,1,844,9/15/2025,8.96,6,336,87,STR-399362
22327141,"Spacious, Modern & Comfy East Boston Hidden Gem",69587,Boris & Susan,East Boston,42.37874,-71.03119,Private room,132,1,838,9/18/2025,8.9,6,310,115,STR-399362
22432082,"Private Suite Near Jamaica Pond, sleeps 4!",164287201,Crystal,Jamaica Plain,42.31094,-71.12824,Private room,,91,0,,,1,0,0,
22581254,"Brighton, MA Guesthouse for rent, Unit 1 (2nd Fl)",166004722,Wang,Brighton,42.35718,-71.1568,Private room,50,91,2,3/2/2025,0.03,2,274,1,
22627055,The Boston Christopher Grand Studio Suite,48494513,Inn Boston,South End,42.34291,-71.07848,Entire home/apt,200,29,4,3/1/2020,0.04,8,364,0,STR-423341
22627141,The Boston Christopher Grand Studio Suite,48494513,Inn Boston,South End,42.34291,-71.07848,Entire home/apt,200,29,0,,,8,364,0,STR-423344
22627198,The Boston Christopher Grand Studio Suite,48494513,Inn Boston,South End,42.34291,-71.07848,Entire home/apt,150,29,3,8/13/2019,0.03,8,313,0,STR-423347
22651814,Comfy Den w/ Bath in Rozzie - females only,15396970,Linda,Roslindale,42.28497,-71.13567,Private room,64,2,83,9/20/2025,0.92,2,64,33,STR-530774
22692343,a spacious room with a safe neighborhood,162940667,Luo,Brighton,42.34245,-71.1489,Private room,,91,0,,,1,0,0,
22714438,Stunning South End Loft! Walk to Restaurants,37327467,Melissa,South End,42.34167,-71.07539,Entire home/apt,182,29,99,8/16/2025,1.08,1,138,1,STR-413762
22768569,1 spacious bedroom in a new house/Condo in Boston,27477868,Natasha,Roslindale,42.28788,-71.11953,Private room,71,91,0,,,1,270,0,
22840213,The Harvard Room conveniently near BC & Harvard,117861820,Kevin,Brighton,42.35872,-71.14229,Entire home/apt,153,2,351,9/21/2025,3.76,3,160,34,STR-413793
22845323,Modern Condo 2BR 1.5B Indoor Parking,86359918,Belkis,Allston,42.34881,-71.13343,Entire home/apt,,180,1,5/26/2018,0.01,1,0,0,
22886713,Boston College Room conveniently near Harvard & BC,117861820,Kevin,Brighton,42.35872,-71.14229,Entire home/apt,149,2,372,7/20/2025,3.99,3,147,22,STR-413793
22918412,Stylish garden level studio with a private patio,17266141,Ali,East Boston,42.37154,-71.03688,Entire home/apt,160,2,282,9/16/2025,6.55,1,278,66,STR-465279
22940115,"Beautiful private place, 4 min fr T, 5 min airport",169902109,Endang,East Boston,42.38383,-71.0346,Private room,149,1,314,9/8/2025,3.38,2,346,32,STR-480732
23015741,NEW Lux Modern Apartment on Clearway st #38,133927887,Kat,Back Bay,42.34425,-71.08563,Entire home/apt,,91,40,7/16/2019,0.44,14,0,0,
23017535,New 2 Bed Modern Apartment in Downtown Boston #14,133927887,Kat,Back Bay,42.34628,-71.08664,Entire home/apt,,91,18,6/25/2019,0.2,14,0,0,
23017803,2 Bed - Modern - Clean living space Prudential #16,133927887,Kat,Fenway,42.34437,-71.08669,Entire home/apt,,91,19,6/19/2019,0.21,14,0,0,
23062683,Small one bedroom apartment in downtown boston,7634519,Carmen,South Boston Waterfront,42.34329,-71.05481,Entire home/apt,,91,1,3/14/2018,0.01,1,0,0,
