id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15789298,Private Rm near Tufts/Harvard/MIT/MGH**,70969915,Carla,,North Cambridge,42.39568,-71.13071,Private room,155,4,46,2025-06-20,0.48,1,257,1,STR-13330
15826847,One Bedroom Short Walk to Harvard (Rm 3),51079261,Riverside,,Riverside,42.36727,-71.10781,Private room,,1,1,2019-11-04,0.01,23,0,0,10863
15827795,One Bedroom Short Walk to Harvard (Rm 14),51079261,Riverside,,Mid-Cambridge,42.36932,-71.10824,Private room,,1,12,2020-02-27,0.11,23,0,0,10863
15881987,One Bedroom Short Walk to Harvard (Rm 2),51079261,Riverside,,Mid-Cambridge,42.36733,-71.10645,Private room,,1,4,2019-08-31,0.05,23,0,0,10863
15896255,"Cambridge Comfort - pet friendly, yard and parking",103104550,Michael,,North Cambridge,42.39895,-71.13045,Entire home/apt,135,2,82,2025-08-31,0.76,1,9,17,
15929332,Harvard/MIT (Unit 1)- Brooklyn Ambiance w/ Parking,35489146,Ann,,Mid-Cambridge,42.36612,-71.1036,Entire home/apt,391,2,323,2025-09-08,3.00,2,150,33,STR-19477
15930566,"Spacious 2BR 2 bath, walk to Harvard & MIT",6626676,Kjersti,,Mid-Cambridge,42.37734,-71.10705,Entire home/apt,341,3,324,2025-09-01,3.24,1,186,42,STR-14648
16012632,One Bedroom Short Walk to Harvard (Rm 1),51079261,Riverside,,Riverside,42.36769,-71.10836,Private room,113,3,29,2025-07-23,0.28,23,60,7,10863
16013016,One Bedroom Short Walk to Harvard (Rm 12),51079261,Riverside,,Mid-Cambridge,42.36948,-71.10784,Private room,,3,0,,,23,2,0,10863
16013157,One Bedroom Short Walk to Harvard (Rm 13),51079261,Riverside,,Mid-Cambridge,42.36924,-71.10703,Private room,,1,12,2019-06-28,0.12,23,0,0,10863
16013859,One Subway Stop to Harvard Two Stops to MIT (B),51079261,Riverside,,North Cambridge,42.39416,-71.12701,Private room,,1,20,2020-10-01,0.24,23,0,0,10811
16146887,A floor all to yourself in our historic home,1364642,Matthew,,East Cambridge,42.37039,-71.08007,Private room,153,3,140,2025-09-17,1.30,1,241,16,C0125750491
16238299,Big and Luminous Apartment at Cambridge Port,13866658,Marta,,Cambridgeport,42.35702,-71.10768,Entire home/apt,135,91,23,2019-09-29,0.22,1,113,0,
16353525,"Comfortable Cloud, Close to Everything... (3S)",35384,Nikita,,Wellington-Harrington,42.36975,-71.09111,Private room,68,30,280,2025-08-17,2.62,2,144,1,
16361055,Harvard Square -  free permitted on street parking,107139150,Anne,,West Cambridge,42.37523,-71.12498,Entire home/apt,356,2,270,2025-09-15,2.58,1,301,31,Mass Tax ID . 13100123
16380128,"Amazing room near Harvard/MIT/BU, with free bikes",6030020,Jason,,Cambridgeport,42.35709,-71.1093,Private room,112,21,15,2025-08-31,0.14,5,299,3,
16436214,One Bedroom Short Walk to Harvard (Rm 5),51079261,Riverside,,Mid-Cambridge,42.36898,-71.10631,Private room,108,3,17,2025-09-19,0.21,23,12,8,10863
16532655,Convenient & Comfortable (3K),229695597,Carol,,Wellington-Harrington,42.36962,-71.09,Private room,100,30,235,2025-09-03,2.25,1,359,3,
16793673,Sunny 1 bedroom condo close to Harvard/MIT,6341616,Stephanie & Ken,,Mid-Cambridge,42.37152,-71.10035,Entire home/apt,129,80,7,2025-04-26,0.07,1,120,1,Cambridge STR-23961
17388503,Cozy Bedroom in a 2BD Apartment. (2K),35384,Nikita,,Wellington-Harrington,42.36801,-71.09163,Private room,100,30,327,2025-09-01,3.14,2,106,1,
17693766,Grad Student or Professor!,40965,Judith L,,North Cambridge,42.39419,-71.13291,Private room,84,30,26,2025-07-25,0.25,3,358,3,
17942925,"Sunny, quiet, large Cambridge apt near Davis Sq",13307006,Katrin,,North Cambridge,42.39278,-71.12644,Entire home/apt,238,2,305,2025-09-25,2.96,1,106,66,STR-219368
18151308,Beautiful Cambridge/Harvard house,5862063,Federico,,Mid-Cambridge,42.37742,-71.10877,Entire home/apt,,1,293,2025-08-25,2.86,1,0,56,
18676360,Walk to Harvard/MIT (unit 2) w/ parking,35489146,Ann,,The Port,42.36612,-71.10307,Entire home/apt,502,2,274,2025-09-08,2.73,2,128,23,STR-280176
18917534,40 ft updated boat,93948402,Gerald A,,East Cambridge,42.36238,-71.0765,Entire home/apt,165,91,0,,,1,365,0,
19423076,"Classic Cambridge Victorian near Harvard, Lesley",132540621,David & Jane,,Neighborhood Nine,42.38888,-71.12653,Entire home/apt,,2,224,2023-06-04,2.24,1,0,0,STR-13547
19847550,*New Construction Luxury Kendall Square Townhouse*,111823791,Parker,,The Port,42.36732,-71.09495,Entire home/apt,760,91,0,,,1,178,0,
19942644,#3A-Cambridge Walk to MIT+Harvard Amazing Location,81038,Louisa,,Mid-Cambridge,42.36765,-71.1059,Entire home/apt,229,28,103,2025-08-21,1.04,9,182,4,C0194540491
20074638,Sunny Apt near MIT/Harvard Central Sq-FreeParking,55554594,David,,Riverside,42.36586,-71.10985,Entire home/apt,227,2,284,2025-09-21,2.90,1,157,33,C0245140491
20355928,"#4B, Walk to Harvard, MIT, Redline! Prime Location",81038,Louisa,,Mid-Cambridge,42.367924,-71.105728,Entire home/apt,219,7,100,2025-08-28,1.02,9,162,10,C0194540491
20403672,#2A MIT & Harvard amazing location!,81038,Louisa,,Mid-Cambridge,42.3677,-71.10584,Entire home/apt,276,28,106,2025-06-30,1.08,9,124,5,C1094540491
20419752,Modern & Large 3BR with A/C walk to MIT/Harvard,145655051,Karen,,The Port,42.36565,-71.10005,Entire home/apt,213,2,332,2025-09-10,3.41,4,181,40,ROC-15228847-004
20462256,"Quirky, Cozy 1 Bedroom in Kendall Square",43450256,Steve,,East Cambridge,42.367,-71.08019,Entire home/apt,,4,178,2021-10-12,1.80,83,0,0,
20504268,Beautiful 2 Bed 2 Private Bath near MIT/Harvard,40515595,Mo,,Wellington-Harrington,42.37177,-71.09794,Entire home/apt,,91,0,,,1,0,0,
20520318,Cambridge Vacation Rental Rooms M807 #3,32532791,Marie,,Mid-Cambridge,42.37184,-71.09944,Private room,209,3,40,2024-05-08,0.41,2,173,0,STR-10296
20572514,#4A-Harvard & MIT Amazing Location!,81038,Louisa,,Mid-Cambridge,42.3677,-71.10584,Entire home/apt,215,28,85,2025-09-17,0.87,9,177,5,C0194540491
20649068,M4/Harvard MIT Suite with Private Bath Kitchenet,93503221,Lynne,,Mid-Cambridge,42.37326,-71.10666,Private room,71,1,213,2025-08-20,2.19,8,69,50,
20797694,Spacious Private 1BR in Cambridge MIT/Havard - 1A,39361614,Jamal,,The Port,42.36455,-71.09764,Private room,82,1,536,2025-09-13,5.46,2,196,66,STR-15178
20799027,Comfortable 1BR near MIT and Harvard - 2A,39361614,Jamal,,The Port,42.3649,-71.09727,Private room,78,1,482,2025-09-07,4.91,2,176,64,STR-15178
21012161,Mid-Cambridge Comfort!,151298426,Vanessa,,Mid-Cambridge,42.37168,-71.10575,Entire home/apt,380,1,184,2025-09-11,1.98,4,17,38,C2039820288
21012703,Harvard Sq Bright Designer 1BdrmApt-monthly rental,7421025,Doriana,,Mid-Cambridge,42.37131,-71.11264,Entire home/apt,145,91,1,2018-07-31,0.01,3,284,0,
21204503,4BR 3BA Cambridge Oasis - Harvard/MIT/Boston,26693600,Hanqun,,Riverside,42.367679595947266,-71.11394500732422,Entire home/apt,592,3,259,2025-09-11,2.75,1,160,31,STR-14751
21275668,Garden apartment in the heart of Kendall Square,41854028,David,,East Cambridge,42.37082,-71.08123,Entire home/apt,245,2,325,2025-09-20,3.55,1,9,54,
21460557,Modern Studio - Davis/Porter/Harvard,119102701,Isabelle,,North Cambridge,42.39196,-71.12186,Entire home/apt,205,1,390,2025-09-13,4.06,1,227,48,Str-13327
21546255,Harvard/MIT/Lesley/Tufts Private Room & Bath,4274693,Vinit,,Agassiz,42.38449,-71.1173,Private room,192,3,182,2025-07-16,1.94,1,214,18,13687
21682941,Casa Paradiso - Top Floor 1bed/1bath in Cambridge,101409695,Alexandria,,Wellington-Harrington,42.37147,-71.08872,Entire home/apt,164,1,75,2025-08-23,1.06,1,260,23,STR-54029
22004690,Quiet room -5 min to T-access to Harvard/Boston,21745230,Jerzy,,North Cambridge,42.39448,-71.13519,Private room,73,1,1,2018-01-13,0.01,7,60,0,STR-13504
22008825,Harvard Square Private Floor,10825995,Mike,,Riverside,42.36424,-71.11525,Entire home/apt,150,180,1,2018-02-21,0.01,4,336,0,
22081464,Cambridge Executive Suites,161304675,Brian,,North Cambridge,42.39696,-71.13258,Entire home/apt,,91,13,2018-08-09,0.14,1,0,0,C0239900460
22099694,Modern House near Harvard. Luxury Master - Dogs Ok,159728840,Michael,,Riverside,42.36725,-71.1113,Entire home/apt,477,3,66,2025-09-12,0.73,1,34,9,
22216607,Harvard Square Home in Heart of Cambridge!,8706284,Gunduz,,Mid-Cambridge,42.37307,-71.11215,Entire home/apt,270,3,97,2025-09-20,1.05,1,82,16,64481
22265937,*1 bedroom * free parking Harvard MIT Cambridge 4,162705378,Huanan,,Cambridgeport,42.36355,-71.10517,Entire home/apt,141,1,460,2025-09-04,4.91,3,258,55,STR 211716
22265938,Excellent value in Cambridge MIT Harvard,70833557,Ken,,Cambridgeport,42.36335,-71.10429,Entire home/apt,111,7,153,2025-06-30,1.63,2,299,2,STR 13727
22265939,Studio free parking with private yard Harvard MIT,162705378,Huanan,,Cambridgeport,42.36245,-71.1051,Entire home/apt,145,1,465,2025-08-31,4.93,3,280,62,STR -211716
22287397,"Hotel: Near T, Cambridge, Queen bed, private bath",162885740,Hong,,North Cambridge,42.39369,-71.12508,Private room,161,1,126,2025-09-19,2.89,23,276,35,C0014490491
22353454,Spacious 1BR Apt | Full Kitchen | Panoramic Views,95459395,Bluebird,,East Cambridge,42.363617,-71.082024,Entire home/apt,,31,2,2022-02-26,0.02,6,6,0,C0281170491
22419586,"1 bedroom */free parking/Harvard,MIT,Cambridge 2",162705378,Huanan,,Cambridgeport,42.36447,-71.1039,Entire home/apt,100,28,157,2025-08-16,1.67,3,281,7,STR-13727
22592882,Room in a beautiful apt- fast wifi - next toT stop,21745230,Jerzy,,North Cambridge,42.3947,-71.13674,Private room,77,1,0,,,7,110,0,STR-13504
22602459,"Newly-Renovated, Stunning Cambridge 2BR",166253811,Patrick,,Wellington-Harrington,42.37327,-71.09237,Entire home/apt,255,1,442,2025-09-08,4.77,3,34,76,C0206780491
22625445,"Serene, Roomy 2BR near Harvard & Davis Sq",71341215,Cheryl,,North Cambridge,42.3896,-71.12363,Entire home/apt,,30,21,2022-04-30,0.23,1,0,0,
22842459,Luxurious and Spacious 5 bedroom in Mid-Cambridge,4167496,Ivan,,Mid-Cambridge,42.3739,-71.10556,Entire home/apt,681,91,0,,,1,364,0,
23037809,Harvard MIT Subway Small private Bedroom,93503221,Lynne,,Mid-Cambridge,42.37492,-71.10432,Private room,75,1,180,2025-09-13,1.93,8,71,43,
23102114,Walk to Harvard/MIT/BU Near NEU/MGH Comfy & Quiet,171618898,Mark,,Cambridgeport,42.35777,-71.11307,Private room,120,1,426,2025-09-27,4.72,4,343,54,STR-14646
